doc_type,reference_number,reference_year,year_published,month_published,language,title_from_filename,title_from_ocr,source_file,drive_id,source_url
guide,,,2022,11,mixed,دليل قواعد وإجراءات الحملة الانتخابية للانتخابات التشريعية لسنة 2022,‎ruM‏ الانتخابات التشريعية,دليل-قواعد-وإجراءات-الحملة-الانتخابية-للانتخابات-التشريعية-لسنة-2022.pdf,13HGONdQt6r2JOscT27_FaO1g9rd9WUAo,https://drive.google.com/uc?export=download&id=13HGONdQt6r2JOscT27_FaO1g9rd9WUAo
decision,28,2022,2022,11,mixed,قرار الهيئة عدد 28 لسنة 2022,2 وضبط تركيبتها ومرجع نظرها الترابي.,قرار-الهيئة-عدد-28-لسنة-2022.pdf,1fUCzqOiDIuqjMFF6izEaWUvpVV1hLL2w,https://drive.google.com/uc?export=download&id=1fUCzqOiDIuqjMFF6izEaWUvpVV1hLL2w
decision,8,2018,2022,11,mixed,قرار محين عدد 8 لسنة 2018,والشروط التي يتعين على وسائل الإعلام التقيد بها خلال الحملة الانتخابية وحملة الاستفتاء كما تمَّ,قرار-محين-عدد-8-لسنة-2018.pdf,1pEfNnSVDFDGQqA5FEaSMAbg703QvJpRd,https://drive.google.com/uc?export=download&id=1pEfNnSVDFDGQqA5FEaSMAbg703QvJpRd
minutes,,,2022,11,mixed,محضر جلسة 14 أكتوبر 2022,الساعة الحادية عشرة والنصف صباحاء بقاعة الاجتماعات ‎Sat‏ المركزي للهيئة الكائن بالبحيرة,محضر-جلسة-14-أكتوبر-2022.pdf,12MYKTJ3aunA1CEyEBt6wYN9qZe0xDN-5,https://drive.google.com/uc?export=download&id=12MYKTJ3aunA1CEyEBt6wYN9qZe0xDN-5
minutes,,,2022,11,mixed,محضر جلسة 7 أكتوبر 2022,"الساعة الثالثة والنصف ظهراء بقاعة الاجتماعات ‎Sat‏ المركزي للبيئة الكائن بالبحيرة 2, وذلك",محضر-جلسة-7-أكتوبر-2022.pdf,1fvA27YnVBCAo7AL6kraimWpyEyhNE--q,https://drive.google.com/uc?export=download&id=1fvA27YnVBCAo7AL6kraimWpyEyhNE--q
report,,,2022,12,fr,Rapport Referendum 2022,حول الاستفتاء في مشروع دستور ‎JUS‏,Rapport-Referendum-2022.pdf,1nmGCYPhBMwIXXzfVoTgDjERNIgIgZ4n1,https://drive.google.com/uc?export=download&id=1nmGCYPhBMwIXXzfVoTgDjERNIgIgZ4n1
other,,,2022,12,mixed,إيطاليا,‎EEE]‏ انتخابات أعضاء مجلس نواب الشعب 6 ا,إيطاليا.pdf,1UAPp3tcgUK75Sd4Hed3ttlZsfyU6zWVL,https://drive.google.com/uc?export=download&id=1UAPp3tcgUK75Sd4Hed3ttlZsfyU6zWVL
guide,,,2022,12,mixed,دليل اجراءات الاقتراع و الفرز الانتخابات التشريعية 2022,الانتخايات التشربعدة لسنة 2022,دليل-اجراءات-الاقتراع-و-الفرز-الانتخابات-التشريعية-2022.pdf,1n3JuZ8omB2PSq9pd7qsBa70yaP3sVkNq,https://drive.google.com/uc?export=download&id=1n3JuZ8omB2PSq9pd7qsBa70yaP3sVkNq
other,,,2022,12,mixed,فرنسا 2,Ferre ‏الشعب‎ ot gi ‏انتخابات أعضاء مجلس‎ 7,فرنسا 2.pdf,1hPmhL3ZYDQfRIqQITmy9jxN1evfICkvE,https://drive.google.com/uc?export=download&id=1hPmhL3ZYDQfRIqQITmy9jxN1evfICkvE
other,,,2022,12,mixed,فرنسا 3,انتخابات أعضاء مجلس نواب الشعب,فرنسا 3.pdf,1BGToLcE4efJ7_0yfrBtFQ5xmAHNnAW9r,https://drive.google.com/uc?export=download&id=1BGToLcE4efJ7_0yfrBtFQ5xmAHNnAW9r
polling_geography,,,2022,12,mixed,قائمة مراكز الاقتراع ذات التوقيت الاستثنائي,مدنين جرية ‎FAT | Gui‏ | الجوامع م إبتدائية مفيدة بورقيبة - الجوامع,قائمة-مراكز-الاقتراع-ذات-التوقيت-الاستثنائي.pdf,1_IZOdilzwBCLB95sMl54j8XTy6WY78QV,https://drive.google.com/uc?export=download&id=1_IZOdilzwBCLB95sMl54j8XTy6WY78QV
decision,,,2022,12,mixed,قرار الهيئة العليا المسقلة للانتخابات يتعلق بالتصريح بالنتائج الأولية للدورة الأولى للانتخابات التشريعية 2022,الأوّليّة للدورة الأولى لانتخابات أعضاء مجلس نواب الشعب لسنة 2022.,قرار-الهيئة-العليا-المسقلة-للانتخابات-يتعلق-بالتصريح-بالنتائج-الأولية-للدورة-الأولى-للانتخابات-التشريعية-2022.pdf,1lXu-L21lG0CXFPqn8b_a5-EHUuo7SD3d,https://drive.google.com/uc?export=download&id=1lXu-L21lG0CXFPqn8b_a5-EHUuo7SD3d
decision,,,2022,12,mixed,قرار أولي بالالغاء الكلي والجزئي لنتائج بعض الفائزين في انتخابات أعضاء مجلس نواب الشعب 17 ديسمبر 2022 في بعض الدوائر الانتخابية,بالإلغاء الكلي ‎pelle‏ لنتائج بعض الفائزين في,قرار-أولي-بالالغاء-الكلي-والجزئي-لنتائج-بعض-الفائزين-في-انتخابات-أعضاء-مجلس-نواب-الشعب-17-ديسمبر-2022-في-بعض-الدوائر-الانتخابية.pdf,10VFZqbvxcxQ_sZHdIRdSGkXNNTLC4aKN,https://drive.google.com/uc?export=download&id=10VFZqbvxcxQ_sZHdIRdSGkXNNTLC4aKN
results,,,2023,01,mixed,النتائج الأولية للدورة الثانية للانتخابات التشريعية,بالتصريح بالنتائج ‎NI‏ للدورة الثانية لانتخابات أعضاء مجلس نواب,النتائج-الأولية-للدورة-الثانية-للانتخابات-التشريعية.pdf,1xG8_69IanptMEgifmg4gZAyY0Rjxzl-y,https://drive.google.com/uc?export=download&id=1xG8_69IanptMEgifmg4gZAyY0Rjxzl-y
decision,,,2023,01,mixed,قرار الالغاء الكلي والجزئي لنتائج بعض الفائزين في الدورة الثانية للانتخابات التشريعية,الإلغاء الكلي والجزئي لنتائج بعض الفائزين,قرار-الالغاء-الكلي-والجزئي-لنتائج-بعض-الفائزين-في-الدورة-الثانية-للانتخابات-التشريعية.pdf,1gTe_kk47FtXUOdO5ImUkl-uwU5tTBFWZ,https://drive.google.com/uc?export=download&id=1gTe_kk47FtXUOdO5ImUkl-uwU5tTBFWZ
decision,6,2023,2023,02,mixed,قرار عدد 6 لسنة 2023 بتاريخ 25 فيفري 2023,يتعلّق بالتصريح بالنتائج الهائيّة للدورة الثانية لانتخابات أعضاء مجلس نواب الشعب,قرار-عدد-6-لسنة-2023-بتاريخ-25-فيفري-2023.pdf,1OVuIZ1C2O1K4N4nuXevQyMgE4E4Ob0fE,https://drive.google.com/uc?export=download&id=1OVuIZ1C2O1K4N4nuXevQyMgE4E4Ob0fE
minutes,,,2023,02,mixed,محضر جلسة 30 جانفي 2023,بالعاصمة الكائن بشارع محمد الخامس. مقرّالمركز الإعلامي للبيئة. وذلك بحضور السادة الآتي ذكرهم:,محضر-جلسة-30-جانفي-2023.pdf,1BM59kfHBCTNsk_XtOjFsyg0Rgu5IixV2,https://drive.google.com/uc?export=download&id=1BM59kfHBCTNsk_XtOjFsyg0Rgu5IixV2
communique,,,2023,05,mixed,بلاغ السيد رئيس اللجنة المكلفة بمتابعة الإشكاليات الإدارية بالهيئة,09 مكتب الضبط المركزي ‎Me‏,بلاغ-السيد-رئيس-اللجنة-المكلفة-بمتابعة-الإشكاليات-الإدارية-بالهيئة.pdf,1hBC3HCmyOGYU_aErAWkGt-QNtYxE2ad8,https://drive.google.com/uc?export=download&id=1hBC3HCmyOGYU_aErAWkGt-QNtYxE2ad8
minutes,,,2023,07,mixed,محضر جلسة 20 جوان 2023,الاجتماعات بالمقرّالمركزي للبيئة الكائن بالبحيرة 2. وذلك بحضور السادة الآتي ذكرهم:,محضر-جلسة-20-جوان-2023.pdf,1KzlxInF-4klYXdfyk_qgW-EZIRRy_s9q,https://drive.google.com/uc?export=download&id=1KzlxInF-4klYXdfyk_qgW-EZIRRy_s9q
minutes,,,2023,07,mixed,محضر جلسة 28 أفريل 2023,عملا بمقتضيات الفقرة الثانية من الفصل 18 (جديد) من القانون الأسامي عدد 23 لسنة 2012 المؤرّخ في 20,محضر-جلسة-28-أفريل-2023.pdf,1oKLtt1sOPhDS_10zMWn65_z7alqE2z1m,https://drive.google.com/uc?export=download&id=1oKLtt1sOPhDS_10zMWn65_z7alqE2z1m
other,,,2023,08,fr,CC A.O 06 2023,(Exclusivement en ligne via TUNEPS),CC_A.O-06-2023.pdf,1GtQrHaQKLO7SWh_yH08aRN9BT-dvhIS-,https://drive.google.com/uc?export=download&id=1GtQrHaQKLO7SWh_yH08aRN9BT-dvhIS-
other,,,2023,08,fr,Cc A.O 04 2023,‏الإدارة المركزية للمصالح المشتركة,Cc_A.O-04-2023.pdf,1WjLz-h5mGl8YiAVSGGvEjCJXy1h9zvGt,https://drive.google.com/uc?export=download&id=1WjLz-h5mGl8YiAVSGGvEjCJXy1h9zvGt
report,,,2023,08,mixed,تقرير الهيئة العليا المستقلة للانتخابات حول انتخابات أعضاء مجلس نواب الشعب لسنة 2022,,تقرير-الهيئة-العليا-المستقلّة-للانتخابات-حول-انتخابات-أعضاء-مجلس-نوّاب-الشعب-لسنة-2022.pdf,1s15NJCCfk4_vmw3nNKVLrWYRiastx67F,https://drive.google.com/uc?export=download&id=1s15NJCCfk4_vmw3nNKVLrWYRiastx67F
statistics,,,2023,08,mixed,معطيات حول الدوائر الانتخابية المحلية لانتخابات المجالس المحلية وعدد المقاعد المخصصة لها,‏الدائرة الانتخابية المحلية,معطيات-حول-الدوائر-الانتخابية-المحلية-لانتخابات-المجالس-المحلية-وعدد-المقاعد-المخصصة-لها.pdf,1NNleSDfFSYsbjq9fz4y2BvKTLXKwPEOk,https://drive.google.com/uc?export=download&id=1NNleSDfFSYsbjq9fz4y2BvKTLXKwPEOk
statistics,,,2023,08,mixed,معطيات حول انتخابات المجلس الوطني للجهات والأقاليم,‎ss‏ المرسوم عدد 10 لسنة 2023 المؤرخ في 08 مارس 2023,معطيات-حول-انتخابات-المجلس-الوطني-للجهات-والأقاليم.pdf,1uMrWvDLoPb0gyAf46weDrrG5XZB49SY1,https://drive.google.com/uc?export=download&id=1uMrWvDLoPb0gyAf46weDrrG5XZB49SY1
statistics,,,2023,08,mixed,معطيات عامة حول الدوائر الخاصة بذوي الاعاقة بالمجالس المحلية وعدد المقاعد المخصصة لها,الدوائر الخاصة بذوي الإعاقة بالمجالس المحلية وعدد المقاعد المخصصة لبا,معطيات-عامة-حول-الدوائر-الخاصة-بذوي-الاعاقة-بالمجالس-المحلية-وعدد-المقاعد-المخصصة-لها.pdf,1OfgpQuTENzVpBgmNMJOBkd2SQW_XoWjk,https://drive.google.com/uc?export=download&id=1OfgpQuTENzVpBgmNMJOBkd2SQW_XoWjk
statistics,,,2023,08,mixed,معطيات عامة حول مشروع التحديد الترابي للدوائر الانتخابية المحلية,1 ضرورة تحديد الحدود الترابية للدوائر الانتخابية قبل إنطاق المسار الانتخابى,معطيات-عامة-حول-مشروع-التحديد-الترابي-للدوائر-الانتخابية-المحلية.pdf,1mb3wgXt72kDIWtsCXRBvtmE-wnU0w8jG,https://drive.google.com/uc?export=download&id=1mb3wgXt72kDIWtsCXRBvtmE-wnU0w8jG
decision,,,2023,09,fr,Decret2023 590Arabe,"وعلى قرار وزير الداخلية المؤرخ في 22 جويلية 2023 وعلى رأي المحكمة الإدارية,",Decret2023_590Arabe.pdf,1FPtqyui09wiIbZjO3IHcaQ564_GwCMeD,https://drive.google.com/uc?export=download&id=1FPtqyui09wiIbZjO3IHcaQ564_GwCMeD
legal_text,,,2023,09,fr,constitution de la republique tunisienne,,constitution-de-la-republique-tunisienne.pdf,117JVms8kOmfFT6dYvINEqlbOZ2J2hiLP,https://drive.google.com/uc?export=download&id=117JVms8kOmfFT6dYvINEqlbOZ2J2hiLP
minutes,,,2023,09,mixed,محضر جلسة 15 سبتمبر 2023,بقاعة الاجتماعات بالمقرٌ المركزي للبيئة الكائن بالبحيرة 2 وذلك بحضور السيدة والسادة الآتي ذكرهم:,محضر-جلسة-15-سبتمبر-2023.pdf,1cHkwK5r8X32WmDg4hCVdXmfTHlk3L_Gk,https://drive.google.com/uc?export=download&id=1cHkwK5r8X32WmDg4hCVdXmfTHlk3L_Gk
statistics,,,2023,09,mixed,معطيات حول انتخابات المجلس الوطني للجهات والأقاليم 2023,الإدارة المركزتة للشؤون القانونيّة,معطيات-حول-انتخابات-المجلس-الوطني-للجهات-والأقاليم-2023.pdf,1aD9WcuX4T3Gc_4mhPT-c81VQ_GWTjS9M,https://drive.google.com/uc?export=download&id=1aD9WcuX4T3Gc_4mhPT-c81VQ_GWTjS9M
statistics,,,2023,09,mixed,معطيات عامة حول مجالس الاقاليم,عدد أعضاء عدد أعضاء عدد أعضاء,معطيات-عامة-حول-مجالس-الاقاليم.pdf,1pa56nnviaummmRQR4r2HLsyYfWFc7cdk,https://drive.google.com/uc?export=download&id=1pa56nnviaummmRQR4r2HLsyYfWFc7cdk
recruitment,,,2023,10,fr,CV Membre ISIE Mohamed Tlili Mnasri,‎M‏ شهادة الألستاذية في الحقوق,CV-Membre-ISIE-Mohamed-Tlili-Mnasri.pdf,1X_ufmNjTJG1_3B_kSHpdzz-AQ7GXgH7T,https://drive.google.com/uc?export=download&id=1X_ufmNjTJG1_3B_kSHpdzz-AQ7GXgH7T
recruitment,,,2023,10,mixed,إعلان عن فتح مناظرة خارجية لانتداب أعوان قارين بالهيئة العليا المستقلة للانتخابات,إلى يوم 4 نوفمبر 2023 حسب الجدول التالي:,إعلان-عن-فتح-مناظرة-خارجية-لانتداب-أعوان-قارين-بالهيئة-العليا-المستقلة-للانتخابات.pdf,1btspGR6PZSMoHLOMJcnTr8yfYfARLIzG,https://drive.google.com/uc?export=download&id=1btspGR6PZSMoHLOMJcnTr8yfYfARLIzG
communique,,,2023,10,mixed,بلاغ حول تأمين حصة عمل استثنائية من قبل القباضات المالية والبلدية يوم السبت والأحد,المترشحين لانتخابات المجالس المحلية لسنة 2023 على كل من وصل,بلاغ-حول-تأمين-حصة-عمل-استثنائية-من-قبل-القباضات-الماليّة-والبلدية-يوم-السبت-والأحد.pdf,1FV1cV4tTJhKZsdDd39uCI_Egqv6VNliI,https://drive.google.com/uc?export=download&id=1FV1cV4tTJhKZsdDd39uCI_Egqv6VNliI
communique,,,2023,10,mixed,بلاغ حول تأمين حصة عمل استثنائية من قبل القباضات المالية والبلدية,المترشحين لانتخابات المجالس المحلية لسنة 2023 على كل من,بلاغ-حول-تأمين-حصة-عمل-استثنائية-من-قبل-القباضات-الماليّة-والبلدية.pdf,15iGrWoEx6bAORo1rNQMj8ClDGIAsUszZ,https://drive.google.com/uc?export=download&id=15iGrWoEx6bAORo1rNQMj8ClDGIAsUszZ
decision,9,2023,2023,10,mixed,قرار الهيئة عدد 9 لسنة 2023,وضبط تركيبتها ومرجع نظرها الترابي.,قرار-الهيئة-عدد-9-لسنة-2023.pdf,1Ig1vhMJRUdJYuuY7asHLo_6fuJfmy1Jo,https://drive.google.com/uc?export=download&id=1Ig1vhMJRUdJYuuY7asHLo_6fuJfmy1Jo
decision,8,2023,2023,10,mixed,قرار عدد 8 لسنة 2023,وإجراءات الترشح لانتخابات أعضاء المجالس المحليّة والترشّح لقرعة اختيار النواب من ذوي الإعاقة لسنة,قرار-عدد-8-لسنة-2023.pdf,1ZgwQoDZUYmK0a4n3oQAPBoE9aaUAkIHD,https://drive.google.com/uc?export=download&id=1ZgwQoDZUYmK0a4n3oQAPBoE9aaUAkIHD
minutes,,,2023,10,mixed,محضر جلسة 11 أكتوبر 2023,"‎Sal‏ المركزي للبيئة الكائن بالبحيرة 2, وذلك بحضور السيدات والسادة الآتي ذكرهم:",محضر-جلسة-11-أكتوبر-2023.pdf,1g-s3Dq5__HXPDOB-Kn8aktu49Ex326cs,https://drive.google.com/uc?export=download&id=1g-s3Dq5__HXPDOB-Kn8aktu49Ex326cs
minutes,,,2023,10,mixed,محضر جلسة 3 أكتوبر 2023,المركزي للهيئة الكائن بالبحيرة 2« وذلك بحضور السيدات والسادة الآتي ذكرهم:,محضر-جلسة-3-أكتوبر-2023.pdf,1mHMWbFIRLmPllYb8ZmFGQtP1YBexL-QN,https://drive.google.com/uc?export=download&id=1mHMWbFIRLmPllYb8ZmFGQtP1YBexL-QN
recruitment,,,2023,11,fr,CV Membre ISIE Mahmoud El Ouaer,مولود في مارس 1969 بالمنستير,CV-Membre-ISIE-Mahmoud-El-Ouaer.pdf,1NuuXhZUERu3w4KlHPKMF9TqzA6una-Lw,https://drive.google.com/uc?export=download&id=1NuuXhZUERu3w4KlHPKMF9TqzA6una-Lw
recruitment,,,2023,11,fr,CV Membre ISIE Mohamed Naoufel Frikha,0 707 98 (216+) معطيات شخصية,CV-Membre-ISIE-Mohamed-Naoufel-Frikha.pdf,1t5GQPZPaejy36IMGqfoXb1JHA6A27wJU,https://drive.google.com/uc?export=download&id=1t5GQPZPaejy36IMGqfoXb1JHA6A27wJU
decision,12,2023,2023,11,mixed,القرار عدد 12 لسنة 2023,واتمام القرار عدد 20 لسنة 2014 المؤرخ في 8 أوت 2014 المتعلق بضبط قواعد تمويل الحملة,القرار-عدد-12-لسنة-2023.pdf,1aYwYeNxNjCHFRxjSVpQFnHDeMO61fFqp,https://drive.google.com/uc?export=download&id=1aYwYeNxNjCHFRxjSVpQFnHDeMO61fFqp
communique,,,2023,11,mixed,بلاغ حول تأمين حصة عمل استثنائية من قبل القباضات المالية والبلدية ليومي 4 و5 نوفمبر,المترشحين لانتخابات المجالس المحلية 2023 على كل من وصل خلاص,بلاغ-حول-تأمين-حصة-عمل-استثنائية-من-قبل-القباضات-المالية-والبلدية-ليومي-4-و5-نوفمبر.pdf,1xDg5w9teWH9eWeVJMK8bk50yiHycmL0e,https://drive.google.com/uc?export=download&id=1xDg5w9teWH9eWeVJMK8bk50yiHycmL0e
guide,,,2023,11,mixed,دليل المترشح لانتخابات أعضاء المجالس المحلية 2023,,دليل-المترشح-لانتخابات-أعضاء-المجالس-المحلية-2023.pdf,1hJh7lneY59m24yq_rFL4z8pPpUUR58-S,https://drive.google.com/uc?export=download&id=1hJh7lneY59m24yq_rFL4z8pPpUUR58-S
polling_geography,,,2023,11,mixed,مكاتب تحيين تسجيل الناخبين القارة الفترة الاستثنائية 21 نوفمبر 2023,مكاتب تحيين تسجيل الناخبين القارة,مكاتب-تحيين-تسجيل-الناخبين-القارة-الفترة-الاستثنائية-21-نوفمبر-2023.pdf,1-NYEzS038CDMQAiSIzYxTITGkuF_DR7v,https://drive.google.com/uc?export=download&id=1-NYEzS038CDMQAiSIzYxTITGkuF_DR7v
decision,,,2023,12,fr,decision isie n16 2023,بضبط قواعد واجراءات تنظيم قرعة عضوية الأشخاص ذوي الإعاقة في المجالس المحلية,decision-isie-n16-2023.pdf,1wAOYqE6aAq3RRxaEUGtxW5cWzJ-9EjiW,https://drive.google.com/uc?export=download&id=1wAOYqE6aAq3RRxaEUGtxW5cWzJ-9EjiW
decision,16,2023,2023,12,mixed,قرار الهيئة العليا المستقلة للانتخابات عدد 16 لسنة 2023,بضبط قواعد واجراءات تنظيم قرعة عضوية الأشخاص ذوي الإعاقة في المجالس المحلية,قرار-الهيئة-العليا-المستقلة-للانتخابات-عدد-16-لسنة-2023.pdf,1TSoxbWaBcYuyk8lPwWxyFGrfnm4MnohV,https://drive.google.com/uc?export=download&id=1TSoxbWaBcYuyk8lPwWxyFGrfnm4MnohV
minutes,,,2023,12,mixed,محضر جلسة 7 ديسمبر 2023,"بالمقرٌ المركزي للبيئة الكائن بالبحيرة 2, وذلك بحخبور السيدة والسادة الآني ذكرهم:",محضر-جلسة-7-ديسمبر-2023.pdf,1ELD1y6tPdshS8oXLSgcLc1s_4chXBmkW,https://drive.google.com/uc?export=download&id=1ELD1y6tPdshS8oXLSgcLc1s_4chXBmkW
minutes,,,2023,12,mixed,محضر جلسة الهيئة 28 نوفمبر 2023,5 : 1 ‏التهنساة‎ 8 CETTE:,محضر-جلسة-الهيئة-28-نوفمبر-2023.pdf,1RWSS5Ht-Mz8-mhauJKcyZqxb-fqqkyzT,https://drive.google.com/uc?export=download&id=1RWSS5Ht-Mz8-mhauJKcyZqxb-fqqkyzT
polling_geography,,,2023,12,mixed,مراكز الاقتراع للانتخابات المحلية 2023,الياسمينة - (أريانة ‎Gal‏,مراكز-الاقتراع-للانتخابات-المحلية-2023.pdf,1YYDWdUDqu95DD2qFWJ645-50uyssnu4Z,https://drive.google.com/uc?export=download&id=1YYDWdUDqu95DD2qFWJ645-50uyssnu4Z
guide,,,2024,01,mixed,دليل الاقتراع والفرز لانتخابات أعضاء المجالس المحلية,,دليل-الاقتراع-والفرز-لانتخابات-أعضاء-المجالس-المحلية.pdf,1fp3oR-6kG3NDBwRzHUi-s4qGIFmCa1k-,https://drive.google.com/uc?export=download&id=1fp3oR-6kG3NDBwRzHUi-s4qGIFmCa1k-
guide,,,2024,01,mixed,دليل قواعد وإجراءات الحملة الانتخابية لانتخابات أعضاء المجالس المحلية,دليل قواعد وإجراءات الحملة الإنتخابية,دليل-قواعد-وإجراءات-الحملة-الانتخابية-لانتخابات-أعضاء-المجالس-المحلية.pdf,1se-QzENMEtNZXXI7C1d1PC5QSt3yd5LQ,https://drive.google.com/uc?export=download&id=1se-QzENMEtNZXXI7C1d1PC5QSt3yd5LQ
minutes,,,2024,01,mixed,محضر جلسة 20 جانفي 2024,الاجتماعات بمقرّ الإدارة الفرعيّة للاتتخابات تونس1 الكائن بالقصبة-تونس العاصمة. وذلك بحضور السيدة والسادة الآتي ذكرهم:,محضر-جلسة-20-جانفي-2024.pdf,1P1r1XYKlR5zz8aUcBgI1S1AdAc5M001f,https://drive.google.com/uc?export=download&id=1P1r1XYKlR5zz8aUcBgI1S1AdAc5M001f
code_of_conduct,,,2024,01,mixed,مدونة سلوك الصحفيين المحليين والأجانب,مدونة سلوك الصحفيين المحليين والأجانب,مدونة-سلوك-الصحفيين-المحليين-والأجانب.pdf,106WqwaqKFWvZEmJTE2v-x5Wv2vaGUmod,https://drive.google.com/uc?export=download&id=106WqwaqKFWvZEmJTE2v-x5Wv2vaGUmod
code_of_conduct,,,2024,01,mixed,مدونة سلوك المترشحين والأحزاب وممثليهم,مدونة سلوك المقّشحين والأحزاب وممثّلهم,مدونة-سلوك-المترشحين-والأحزاب-وممثليهم.pdf,1wc2NQwR-wGtdolTGGqjIm_zPM2itlO3f,https://drive.google.com/uc?export=download&id=1wc2NQwR-wGtdolTGGqjIm_zPM2itlO3f
code_of_conduct,,,2024,01,mixed,مدونة سلوك الملاحظين المحلين والأجانب,مدونة سلوك الماحظين المحليين والأجانب,مدونة-سلوك-الملاحظين-المحلين-والأجانب.pdf,1kDEGomj9vxY5kz9oJrOpBmS4GJkzLZ2t,https://drive.google.com/uc?export=download&id=1kDEGomj9vxY5kz9oJrOpBmS4GJkzLZ2t
other,,,2024,02,fr,JournalArabe0312024,الأربعاء 18 شعبان 1445 - 28 فيفري,JournalArabe0312024.pdf,1oxYus3xrXNm2TSmVIYECf5xoU6Mr3Ax0,https://drive.google.com/uc?export=download&id=1oxYus3xrXNm2TSmVIYECf5xoU6Mr3Ax0
other,,,2024,02,fr,JournalArabe0322024,الأربعاء 18 شعبان 1445 - 28 فيفري,JournalArabe0322024.pdf,16gqX4FvR2m0cQ9bvTfxXEtjvU4kwGV_5,https://drive.google.com/uc?export=download&id=16gqX4FvR2m0cQ9bvTfxXEtjvU4kwGV_5
report,,,2024,02,mixed,تقرير نشاط الهيئة لسنة 2022,تقرير النشاط بعنوان سنة 2022,تقرير-نشاط-الهيئة-لسنة-2022.pdf,1NGvvaxgURBNViHAfA0lLsDokkzfTM1_Y,https://drive.google.com/uc?export=download&id=1NGvvaxgURBNViHAfA0lLsDokkzfTM1_Y
decision,,,2024,02,mixed,قرار الهيئة عدد 281 2024,شروط وإجراءات سحب الوكالة.,قرار-الهيئة-عدد-281-2024.pdf,17JV-9Afe3aP6qDx_GTah0j4RfupHnove,https://drive.google.com/uc?export=download&id=17JV-9Afe3aP6qDx_GTah0j4RfupHnove
decision,,,2024,02,mixed,قرار الهيئة عدد 282 2024,قواعد وإجراءات تنظيم انتخابات مجالس الاقاليم والمجلس الوطني للجهات والأقاليم.,قرار-الهيئة-عدد-282-2024.pdf,1jcNNo6EchW1YPBM4So1bE3VoGcJNUx5v,https://drive.google.com/uc?export=download&id=1jcNNo6EchW1YPBM4So1bE3VoGcJNUx5v
candidate_list,,,2024,03,mixed,قائمة المترشحين المقبولين نهائيا لمجالس الأقاليم,المقبولين نهاقِّ الانتخابات أعضاء مجالس الأقاليم,قائمة-المترشحين-المقبولين-نهائيا-لمجالس-الأقاليم.pdf,1EG8bIHAZL7jSE2rhUv1RytXJuwNVA66r,https://drive.google.com/uc?export=download&id=1EG8bIHAZL7jSE2rhUv1RytXJuwNVA66r
list,,,2024,03,mixed,قائمة المقبولين أوليا المجلس الوطني للجهات و الأقاليم,المجلس الوطني للجهات والأقاليم,قائمة-المقبولين-أوليا-المجلس-الوطني-للجهات-و-الأقاليم.pdf,13zrXfthQdE20wY3QvcGAzjpjnw6JNlhX,https://drive.google.com/uc?export=download&id=13zrXfthQdE20wY3QvcGAzjpjnw6JNlhX
list,,,2024,03,mixed,قائمة المقبولين نهائيا المجلس الوطني للجهات والأقاليم,قائمة المترشحين المقبولين نهائيا,قائمة-المقبولين-نهائيا-المجلس-الوطني-للجهات-والأقاليم.pdf,1TmbSSrrS-FoVJrvry2z5eWSHckVWlffu,https://drive.google.com/uc?export=download&id=1TmbSSrrS-FoVJrvry2z5eWSHckVWlffu
list,,,2024,03,mixed,قائمة أولية في المقبولين مجالس أقاليم,للمترشحين المقبولين لانتخابات أعضاء مجالس الأقاليم,قائمة-أولية-في-المقبولين-مجالس-أقاليم.pdf,1R6wUXcVFzzmB5JQiwA1TGRl4yrEZvtqX,https://drive.google.com/uc?export=download&id=1R6wUXcVFzzmB5JQiwA1TGRl4yrEZvtqX
decision,,,2024,03,mixed,قرار الهيئة المتعلق بالتصريح بالنتائج الأولية لانتخابات أعضاء مجالس الأقاليم,الأولية لانتخابات أعضاء مجالس الأقاليم .,قرار-الهيئة-المتعلق-بالتصريح-بالنتائج-الأولية-لانتخابات-أعضاء-مجالس-الأقاليم.pdf,1qHPj9KxnddvRmTem7Ij11ZKKaf_ragCp,https://drive.google.com/uc?export=download&id=1qHPj9KxnddvRmTem7Ij11ZKKaf_ragCp
decision,537,2024,2024,03,mixed,قرار عدد 537 لسنة 2024 يتعلق بضبط تركيبة المجالس الجهوية,تركيبة المجالس الجهوية للفترة الممتدة من 06 مارس 2024 الى 05 جوان 2024,قرار-عدد-537-لسنة-2024-يتعلق-بضبط-تركيبة-المجالس-الجهوية.pdf,1-khNRkEmcmpF6iHUxxl1t8Qe29y1KX0g,https://drive.google.com/uc?export=download&id=1-khNRkEmcmpF6iHUxxl1t8Qe29y1KX0g
decision,,,2024,03,mixed,قرار عدد 538 بتاريخ 18 مارس 2024,بالتصريح بالنتائج النهائية لانتخابات أعضاء مجالس الأقاليم .,قرار-عدد-538-بتاريخ-18-مارس-2024.pdf,1gx0bKIIkdD2GxdzJdo9LvnaEQVCr4vbN,https://drive.google.com/uc?export=download&id=1gx0bKIIkdD2GxdzJdo9LvnaEQVCr4vbN
decision,,,2024,03,mixed,قرار نتائج أولية مجلس وطني للجهات و الأقاليم,الأولية لانتخابات أعضاء المجلس الوطني للجبهات والأقاليم .,قرار-نتائج-أولية-مجلس-وطني-للجهات-و-الأقاليم.pdf,1v67rrFGWqE9Gqfo4PZVZqkmRZUxUAowI,https://drive.google.com/uc?export=download&id=1v67rrFGWqE9Gqfo4PZVZqkmRZUxUAowI
